species,percent.cover,mean ,sd,
Pomatoschistus minutus,high ,0,0,
Symphodus melops,high ,2.4,2.6,
Spinachia spinachia,high ,0.8,0.7,
Pleuronectes platessa,high ,0.1,0.4,
Crangon crangon,high ,0.6,1.2,
Taurulus bubalis,high ,0.6,0.5,
Callionymus lyra,high ,0.9,0.8,
Gobiusculus flavescens,high ,0.8,1,
Clupea harengus,high ,8,17.2,
Centrolabrus exoletus ,high ,0.1,0.4,
Labrus bergylta,high ,0.6,0.9,
Pollachius pollachius,high ,7.3,4.8,
Atherina prebyter,high ,0.6,1.1,
Syngnathus acus,high ,0.4,0.5,
Ciliata mustela,high ,0.1,0.4,
Gadus morhua,high ,1.1,1.2,
Scyliorhinus canicula,high ,0.1,0.4,
Entelurus aequoreus,high ,0.3,0.5,
